Transaction_Amount,Transaction_Type,Account_Balance,Device_Type,Location,Merchant_Category,Previous_Fraudulent_Activity,Card_Type,Card_Age,Transaction_Distance,Authentication_Method,Risk_Score,Fraud_Label
55.35,POS,88292.27,Tablet,Sydney,Electronics,0,Visa,80,625.67,PIN,0.7883,0
17.17,ATM Withdrawal,71983.33,Mobile,Sydney,Electronics,0,Mastercard,165,3402.37,PIN,0.0233,0
72.33,ATM Withdrawal,29954.64,Mobile,Sydney,Clothing,0,Discover,120,3956.54,Password,0.408,1
188.75,Online,58078.66,Mobile,Sydney,Travel,1,Amex,85,3935.53,Password,0.1379,0
2.61,Bank Transfer,51803.62,Tablet,Tokyo,Groceries,0,Visa,86,4963.49,Biometric,0.5355,0
195.76,Online,85000.68,Tablet,Mumbai,Travel,1,Mastercard,65,4045.87,PIN,0.2553,0
8.06,ATM Withdrawal,38155.13,Laptop,Sydney,Travel,0,Mastercard,232,1819.59,Password,0.4784,1
73.34,Bank Transfer,72060.59,Laptop,London,Clothing,0,Visa,92,4779.55,Biometric,0.4097,0
9.82,Bank Transfer,39996.92,Mobile,Sydney,Electronics,0,Discover,152,2772.48,Password,0.9658,1
197.21,Online,32472.3,Laptop,Sydney,Electronics,0,Visa,225,1947.0,PIN,0.8843,1
56.45,ATM Withdrawal,1525.05,Mobile,Mumbai,Restaurants,0,Amex,103,1031.7,Password,0.6745,0
0.32,Online,39236.78,Mobile,Sydney,Electronics,0,Amex,38,1548.07,OTP,0.5475,0
63.83,POS,75526.24,Laptop,Sydney,Restaurants,0,Visa,45,3878.08,Biometric,0.6558,0
147.71,POS,40660.04,Laptop,Sydney,Restaurants,0,Mastercard,20,3055.68,OTP,0.1327,0
127.57,ATM Withdrawal,43073.71,Laptop,London,Travel,0,Visa,228,3424.04,OTP,0.7918,0
15.24,POS,61396.94,Tablet,Mumbai,Travel,0,Amex,195,840.45,PIN,0.5575,0
80.4,POS,60394.4,Laptop,New York,Travel,0,Mastercard,95,4530.61,Biometric,0.8746,1
3.13,POS,34717.05,Tablet,Mumbai,Restaurants,0,Amex,87,2351.65,Biometric,0.4547,0
9.53,Online,60125.25,Mobile,Tokyo,Groceries,0,Amex,206,3951.42,PIN,0.3199,0
24.73,Bank Transfer,26301.84,Tablet,New York,Clothing,1,Amex,162,1199.1,Biometric,0.8063,0
138.21,POS,38278.34,Tablet,New York,Electronics,0,Mastercard,158,4183.86,PIN,0.703,0
39.63,Bank Transfer,8549.08,Mobile,Tokyo,Travel,0,Visa,17,4940.9,Password,0.5676,1
11.77,ATM Withdrawal,42891.23,Mobile,London,Groceries,1,Discover,106,1296.27,Biometric,0.7972,1
129.22,Bank Transfer,19305.37,Mobile,London,Clothing,0,Discover,44,665.43,PIN,0.7823,0
13.36,Bank Transfer,12122.23,Tablet,New York,Groceries,0,Visa,159,142.32,PIN,0.8096,0
272.93,POS,34981.69,Mobile,London,Groceries,0,Mastercard,121,4510.4,Biometric,0.3406,0
23.69,POS,24626.76,Mobile,Tokyo,Restaurants,0,Amex,25,2506.35,Biometric,0.6866,0
70.81,ATM Withdrawal,99005.13,Tablet,Mumbai,Electronics,0,Visa,211,3089.62,Biometric,0.5454,0
22.63,Bank Transfer,85873.02,Mobile,New York,Groceries,0,Discover,163,817.02,OTP,0.3183,0
92.27,ATM Withdrawal,69161.25,Mobile,Mumbai,Travel,0,Mastercard,185,4627.43,Password,0.9537,1
112.72,ATM Withdrawal,85678.68,Tablet,London,Clothing,0,Discover,64,229.77,Biometric,0.1398,0
213.77,ATM Withdrawal,44775.66,Mobile,Mumbai,Clothing,0,Amex,179,3352.98,Password,0.1848,0
3.06,Bank Transfer,75650.51,Laptop,Sydney,Electronics,0,Discover,62,1855.93,OTP,0.0077,0
308.73,Bank Transfer,841.65,Mobile,Mumbai,Clothing,0,Amex,51,4722.91,Biometric,0.6362,0
18.98,Online,96821.71,Tablet,Sydney,Clothing,0,Discover,202,1607.61,OTP,0.9372,1
38.1,Online,80339.18,Tablet,Mumbai,Restaurants,0,Visa,209,2141.19,Password,0.7429,0
69.78,POS,84572.25,Laptop,New York,Restaurants,0,Visa,143,3623.95,OTP,0.9892,1
29.6,ATM Withdrawal,91272.39,Mobile,London,Groceries,1,Amex,132,3869.54,Biometric,0.4975,0
231.0,POS,50228.86,Tablet,London,Restaurants,0,Mastercard,11,736.9,Biometric,0.8829,1
24.48,POS,89578.63,Mobile,Mumbai,Electronics,0,Mastercard,223,2541.13,Biometric,0.319,0
237.11,POS,38531.58,Mobile,Sydney,Electronics,0,Discover,8,7.01,PIN,0.7501,0
306.6,POS,66429.56,Laptop,Mumbai,Groceries,0,Discover,108,1700.82,Biometric,0.4144,0
29.72,POS,88648.99,Laptop,London,Groceries,0,Mastercard,55,2254.22,OTP,0.4566,0
124.88,Online,72517.85,Tablet,Sydney,Electronics,0,Mastercard,93,1379.33,Password,0.6091,0
27.92,Bank Transfer,77140.55,Mobile,Tokyo,Clothing,0,Discover,105,3061.09,Password,0.1976,0
34.39,Online,44749.59,Mobile,London,Groceries,0,Amex,182,3093.97,OTP,0.673,0
95.05,Bank Transfer,83198.66,Mobile,London,Restaurants,0,Amex,151,1498.03,Password,0.3344,0
31.7,Online,82964.35,Laptop,Sydney,Clothing,0,Visa,103,4265.72,PIN,0.0055,0
191.97,Online,67585.77,Tablet,Mumbai,Clothing,0,Mastercard,41,4856.51,PIN,0.0958,0
44.07,Bank Transfer,11918.09,Mobile,Mumbai,Groceries,0,Visa,231,13.98,Password,0.3889,0
25.38,ATM Withdrawal,48704.75,Tablet,Sydney,Clothing,0,Mastercard,168,3408.27,PIN,0.3222,0
394.62,ATM Withdrawal,71321.68,Mobile,Sydney,Restaurants,0,Discover,68,2684.63,Password,0.6492,0
63.37,POS,47665.1,Mobile,London,Groceries,0,Discover,20,3572.45,Password,0.2708,0
16.97,POS,52165.88,Mobile,New York,Electronics,0,Visa,103,4184.27,Biometric,0.7169,0
363.86,POS,90037.97,Laptop,London,Electronics,1,Discover,140,4614.29,Password,0.2718,0
106.2,Bank Transfer,31890.74,Laptop,London,Electronics,0,Visa,94,1352.51,Password,0.2693,0
70.42,Bank Transfer,21248.8,Laptop,Mumbai,Travel,0,Discover,15,1571.39,Biometric,0.8499,0
21.33,ATM Withdrawal,96219.67,Tablet,New York,Clothing,0,Discover,77,1837.58,Biometric,0.1647,0
64.23,Bank Transfer,67088.03,Laptop,Sydney,Clothing,0,Mastercard,38,3717.63,PIN,0.1274,0
298.9,POS,55658.79,Tablet,Sydney,Travel,0,Mastercard,42,2015.46,OTP,0.9441,1
173.68,POS,50940.03,Mobile,London,Groceries,0,Discover,71,146.07,Biometric,0.7388,1
126.92,Online,85516.43,Tablet,Tokyo,Travel,0,Discover,201,4787.71,PIN,0.3925,1
40.64,ATM Withdrawal,76016.81,Mobile,London,Electronics,0,Amex,128,620.67,PIN,0.6901,0
12.87,Online,51260.5,Tablet,New York,Clothing,0,Discover,235,1729.86,Password,0.4653,0
3.1,Bank Transfer,76141.76,Mobile,New York,Travel,0,Visa,67,2958.68,PIN,0.7693,1
31.27,Online,6814.33,Tablet,New York,Clothing,0,Amex,122,8.34,Password,0.737,0
77.02,ATM Withdrawal,35240.55,Tablet,Mumbai,Travel,0,Discover,194,3686.61,OTP,0.4556,0
9.21,Bank Transfer,29122.14,Mobile,Sydney,Restaurants,0,Visa,167,307.19,OTP,0.4958,0
24.95,POS,40716.69,Laptop,London,Clothing,0,Mastercard,70,1674.43,OTP,0.3064,0
48.03,Bank Transfer,64769.27,Laptop,Mumbai,Clothing,0,Mastercard,12,417.64,Password,0.1824,0
31.32,ATM Withdrawal,11082.48,Tablet,London,Travel,0,Visa,31,2672.02,PIN,0.491,0
60.8,Online,48076.05,Mobile,Mumbai,Restaurants,0,Mastercard,74,1388.4,Password,0.3993,0
98.82,Bank Transfer,20800.69,Tablet,New York,Restaurants,0,Discover,151,743.79,Password,0.1682,0
32.32,POS,35239.44,Tablet,London,Groceries,0,Amex,93,2716.25,OTP,0.69,0
174.45,POS,73618.23,Mobile,Sydney,Clothing,0,Amex,207,4996.91,OTP,0.4651,0
109.35,POS,42365.28,Mobile,London,Restaurants,0,Discover,103,3099.26,Biometric,0.389,0
22.51,ATM Withdrawal,1651.62,Tablet,London,Restaurants,0,Amex,23,205.3,Biometric,0.4306,0
35.93,ATM Withdrawal,83856.0,Laptop,Tokyo,Electronics,1,Amex,167,1550.67,PIN,0.6015,0
282.59,Bank Transfer,62888.38,Tablet,New York,Electronics,1,Discover,104,1603.64,Password,0.8951,1
263.8,ATM Withdrawal,94812.91,Tablet,Tokyo,Clothing,0,Visa,139,1300.58,OTP,0.8601,1
58.79,POS,81359.53,Mobile,London,Groceries,0,Discover,91,2367.83,PIN,0.2124,0
124.74,Bank Transfer,61520.85,Tablet,Mumbai,Travel,0,Mastercard,196,2379.56,Password,0.4269,0
48.92,POS,13124.53,Tablet,Sydney,Restaurants,0,Mastercard,79,2898.69,Biometric,0.9879,1
4.97,ATM Withdrawal,19504.57,Tablet,Mumbai,Clothing,0,Mastercard,205,3639.03,Password,0.3491,0
50.4,Bank Transfer,70996.25,Mobile,London,Electronics,0,Amex,74,1043.77,Password,0.5126,0
180.62,ATM Withdrawal,53345.96,Tablet,Sydney,Travel,0,Discover,90,3326.17,Password,0.6589,0
140.6,ATM Withdrawal,13935.49,Tablet,Sydney,Clothing,0,Mastercard,200,2864.87,PIN,0.7153,0
231.35,ATM Withdrawal,92933.91,Laptop,Tokyo,Groceries,0,Visa,34,2273.51,Password,0.1123,0
212.22,POS,6753.07,Mobile,Sydney,Travel,0,Discover,179,1046.9,Biometric,0.4688,1
147.84,POS,46527.47,Tablet,Sydney,Travel,0,Visa,148,4908.34,PIN,0.6642,0
158.85,Bank Transfer,11813.99,Tablet,New York,Travel,0,Amex,79,2653.12,Password,0.3265,0
4.43,Bank Transfer,18905.83,Laptop,New York,Restaurants,0,Mastercard,18,2594.13,Password,0.4432,0
85.45,ATM Withdrawal,41767.46,Mobile,Sydney,Groceries,0,Mastercard,92,4570.28,OTP,0.3784,0
99.32,Online,29329.35,Tablet,London,Clothing,0,Visa,167,3368.55,Biometric,0.1655,1
87.29,Bank Transfer,82933.42,Tablet,Sydney,Travel,1,Amex,115,4233.75,OTP,0.1413,0
229.0,Online,20413.24,Tablet,Sydney,Restaurants,0,Visa,107,4659.45,Biometric,0.3067,0
22.4,POS,87085.89,Laptop,Tokyo,Electronics,0,Mastercard,78,3264.92,PIN,0.1453,0
263.59,Online,98730.52,Laptop,New York,Groceries,1,Mastercard,157,4134.17,Biometric,0.3619,0
425.97,POS,14127.88,Mobile,London,Clothing,0,Mastercard,157,4657.46,Password,0.314,0
119.44,ATM Withdrawal,18698.54,Tablet,New York,Clothing,0,Discover,105,4487.33,OTP,0.6425,0
18.41,POS,48723.59,Tablet,Sydney,Electronics,0,Mastercard,82,1931.13,PIN,0.8117,0
8.74,Bank Transfer,1686.45,Laptop,New York,Electronics,0,Discover,13,3286.0,Password,0.6706,0
513.78,POS,63548.64,Laptop,Mumbai,Travel,0,Amex,201,2720.75,PIN,0.6938,0
57.85,ATM Withdrawal,28459.14,Laptop,New York,Electronics,0,Amex,81,3003.21,PIN,0.9129,1
27.64,Online,12521.24,Mobile,Tokyo,Restaurants,0,Discover,16,4150.25,OTP,0.76,1
64.61,Bank Transfer,94289.85,Mobile,New York,Clothing,0,Amex,139,366.13,OTP,0.6274,0
106.84,POS,55417.27,Laptop,Sydney,Groceries,0,Discover,65,17.13,Biometric,0.3657,0
80.2,Online,82626.55,Tablet,Sydney,Travel,0,Mastercard,159,178.6,PIN,0.0462,0
11.91,ATM Withdrawal,75447.75,Mobile,Mumbai,Travel,0,Visa,69,961.72,OTP,0.2151,0
202.75,ATM Withdrawal,58180.36,Tablet,London,Travel,0,Discover,6,1798.14,PIN,0.1632,0
45.05,ATM Withdrawal,7142.75,Mobile,Sydney,Groceries,0,Mastercard,32,4623.41,OTP,0.8534,1
68.08,ATM Withdrawal,11823.74,Mobile,Sydney,Electronics,0,Visa,116,4500.89,PIN,0.3606,0
38.38,Online,33764.14,Tablet,New York,Restaurants,0,Discover,109,249.27,Password,0.6095,1
45.14,Bank Transfer,90226.22,Laptop,Mumbai,Groceries,0,Visa,62,150.73,Password,0.0042,0
40.68,ATM Withdrawal,73513.35,Laptop,London,Clothing,0,Discover,40,768.22,Biometric,0.8577,1
28.93,ATM Withdrawal,21457.06,Laptop,Mumbai,Travel,0,Amex,124,293.67,Password,0.5639,0
211.35,POS,83061.48,Mobile,London,Travel,0,Mastercard,234,4917.78,OTP,0.4945,1
221.65,ATM Withdrawal,4113.54,Tablet,Mumbai,Groceries,0,Mastercard,153,4158.29,Biometric,0.8891,1
203.14,Bank Transfer,55114.35,Laptop,Sydney,Electronics,0,Amex,121,3874.84,OTP,0.7617,1
77.56,ATM Withdrawal,35091.4,Laptop,Mumbai,Electronics,0,Discover,84,1895.75,PIN,0.7788,0
43.67,ATM Withdrawal,871.39,Tablet,Mumbai,Groceries,0,Amex,64,321.41,Password,0.1535,0
35.48,ATM Withdrawal,96433.2,Mobile,Sydney,Travel,0,Amex,223,1801.72,OTP,0.9509,1
69.42,ATM Withdrawal,55756.5,Mobile,London,Clothing,0,Amex,38,1047.08,PIN,0.499,0
105.88,Bank Transfer,12611.33,Tablet,New York,Electronics,0,Discover,207,242.67,Password,0.5794,0
97.23,Online,50077.22,Tablet,Mumbai,Clothing,0,Visa,103,1523.59,PIN,0.6551,0
309.46,POS,1754.34,Laptop,London,Electronics,0,Visa,139,2165.65,Biometric,0.2389,0
86.97,Online,3919.19,Laptop,New York,Restaurants,1,Mastercard,8,2567.75,OTP,0.1571,1
110.75,POS,67075.63,Mobile,New York,Clothing,0,Amex,89,2290.86,Password,0.1995,0
209.18,Online,15932.19,Mobile,New York,Groceries,0,Mastercard,105,1895.21,Biometric,0.8742,1
184.5,Bank Transfer,34642.47,Mobile,Sydney,Travel,0,Mastercard,91,2730.28,OTP,0.4426,1
17.04,Online,41936.84,Tablet,Sydney,Electronics,0,Discover,34,4423.09,OTP,0.4467,0
12.13,Bank Transfer,86906.22,Laptop,London,Clothing,0,Discover,73,4849.83,Biometric,0.6382,0
260.47,Online,93531.71,Tablet,Sydney,Electronics,0,Mastercard,63,4578.71,OTP,0.978,1
68.1,POS,58137.59,Laptop,Tokyo,Clothing,0,Amex,20,3548.05,OTP,0.6328,0
170.02,POS,91895.42,Tablet,London,Restaurants,0,Mastercard,98,3879.07,Biometric,0.6698,0
182.66,Bank Transfer,54959.93,Mobile,Mumbai,Electronics,0,Visa,126,3278.32,PIN,0.3398,0
92.96,Online,49229.92,Tablet,Mumbai,Electronics,0,Discover,116,2829.23,PIN,0.2061,1
144.37,POS,35724.0,Laptop,Mumbai,Groceries,0,Mastercard,200,2908.48,Password,0.8291,0
3.54,ATM Withdrawal,30122.65,Mobile,Sydney,Restaurants,0,Amex,4,4814.01,OTP,0.7642,0
13.26,Online,61487.58,Mobile,London,Groceries,0,Amex,15,1674.17,PIN,0.9841,1
17.99,Bank Transfer,96549.63,Mobile,London,Clothing,0,Amex,139,2490.71,PIN,0.3667,0
153.67,POS,49487.07,Mobile,Sydney,Clothing,0,Visa,150,4957.63,OTP,0.7741,0
70.71,POS,32856.05,Tablet,Sydney,Electronics,0,Amex,2,212.36,OTP,0.1951,0
3.37,POS,36893.16,Laptop,Sydney,Restaurants,0,Mastercard,116,558.31,PIN,0.1696,1
157.68,Online,10182.62,Tablet,London,Electronics,0,Amex,229,2230.31,Biometric,0.9827,1
82.06,POS,7950.28,Mobile,New York,Groceries,1,Amex,52,302.33,PIN,0.9414,1
5.32,ATM Withdrawal,29798.65,Tablet,Mumbai,Clothing,0,Discover,10,745.05,Biometric,0.4979,1
119.95,POS,13855.65,Mobile,Mumbai,Electronics,1,Mastercard,91,2044.59,OTP,0.5708,0
117.28,Online,3767.23,Laptop,Sydney,Electronics,0,Amex,221,1890.99,Biometric,0.4682,0
181.73,Online,47292.37,Tablet,Mumbai,Travel,1,Amex,57,3586.61,Biometric,0.7188,0
62.48,Bank Transfer,43449.02,Mobile,Mumbai,Travel,0,Mastercard,157,3964.15,OTP,0.0323,1
40.59,Online,62096.26,Tablet,Mumbai,Restaurants,0,Amex,9,2330.48,OTP,0.215,0
112.39,Bank Transfer,70908.88,Tablet,Sydney,Groceries,0,Mastercard,82,3485.53,Password,0.4571,0
28.15,ATM Withdrawal,31016.2,Mobile,New York,Restaurants,0,Discover,23,801.05,OTP,0.091,0
117.73,POS,74877.56,Tablet,Sydney,Restaurants,1,Visa,219,866.46,OTP,0.0956,0
15.36,Bank Transfer,37831.81,Laptop,Mumbai,Groceries,0,Amex,87,4298.23,Password,0.2789,0
117.16,ATM Withdrawal,27098.65,Mobile,Tokyo,Travel,1,Amex,167,116.07,OTP,0.881,1
201.85,POS,4154.2,Mobile,Tokyo,Electronics,0,Mastercard,144,3906.3,OTP,0.0804,0
149.61,POS,69323.72,Laptop,Sydney,Electronics,1,Amex,71,3940.39,Biometric,0.5208,0
226.29,POS,75649.09,Laptop,London,Electronics,0,Discover,130,3043.38,Password,0.8839,1
46.84,Bank Transfer,31019.08,Tablet,New York,Travel,0,Visa,7,2066.62,Biometric,0.9745,1
82.54,Bank Transfer,38836.67,Tablet,Tokyo,Groceries,0,Visa,135,150.75,Password,0.2806,1
16.98,Online,69035.41,Tablet,Tokyo,Travel,0,Amex,94,2912.49,Password,0.3388,0
38.75,Online,17387.96,Laptop,Mumbai,Electronics,0,Discover,216,1575.68,Biometric,0.6657,0
305.14,Online,76589.09,Laptop,Tokyo,Travel,0,Mastercard,85,4906.18,Biometric,0.6042,0
68.78,Online,62815.77,Laptop,New York,Groceries,0,Discover,70,1119.49,PIN,0.6813,0
49.26,Bank Transfer,3624.33,Tablet,Sydney,Travel,0,Discover,229,614.8,PIN,0.8769,1
5.0,Online,60075.24,Tablet,Mumbai,Groceries,0,Discover,116,2829.92,Password,0.2179,1
0.8,POS,16658.09,Laptop,Tokyo,Groceries,0,Mastercard,93,3948.56,Biometric,0.7136,0
29.2,Online,66166.15,Mobile,New York,Groceries,0,Visa,46,1484.21,Password,0.8392,0
170.87,ATM Withdrawal,29864.62,Laptop,Mumbai,Clothing,0,Visa,88,2099.09,Biometric,0.575,0
45.8,Bank Transfer,94938.23,Mobile,Mumbai,Travel,0,Amex,158,3413.07,OTP,0.2225,0
77.25,POS,14245.27,Tablet,Sydney,Groceries,0,Mastercard,3,3461.71,Biometric,0.599,0
70.08,POS,4792.45,Mobile,New York,Restaurants,0,Visa,127,1095.37,OTP,0.0672,0
27.37,POS,74744.35,Mobile,London,Electronics,0,Amex,187,3265.08,OTP,0.2937,1
62.0,POS,36146.11,Mobile,Tokyo,Clothing,0,Mastercard,161,1002.64,PIN,0.5693,0
33.64,POS,9674.18,Tablet,Tokyo,Travel,0,Amex,55,4345.67,OTP,0.1238,1
32.25,ATM Withdrawal,80244.56,Laptop,Tokyo,Restaurants,0,Amex,59,4792.4,Password,0.4924,0
287.98,Bank Transfer,13238.9,Tablet,Tokyo,Restaurants,0,Mastercard,19,4819.85,Password,0.1186,0
266.58,Online,36685.47,Mobile,New York,Electronics,0,Amex,195,4150.2,PIN,0.4873,1
66.23,Online,18347.86,Mobile,London,Travel,0,Visa,225,1617.83,Password,0.6782,1
300.74,ATM Withdrawal,26420.43,Mobile,Tokyo,Electronics,0,Discover,62,102.83,Password,0.8028,0
76.19,Online,78605.45,Mobile,Sydney,Restaurants,0,Mastercard,59,4001.3,PIN,0.6962,0
29.84,Online,32677.53,Tablet,New York,Travel,0,Visa,117,4205.45,PIN,0.159,0
231.29,ATM Withdrawal,86619.89,Laptop,Mumbai,Electronics,0,Amex,18,1588.39,Biometric,0.8838,1
68.44,ATM Withdrawal,78645.6,Laptop,London,Travel,0,Mastercard,203,985.65,Biometric,0.5559,0
13.19,Bank Transfer,38925.5,Laptop,Tokyo,Clothing,0,Amex,212,2924.24,PIN,0.448,0
102.89,POS,30695.67,Mobile,Tokyo,Electronics,0,Amex,62,92.81,Biometric,0.8142,0
177.99,POS,69959.25,Tablet,New York,Travel,1,Discover,208,4042.64,Password,0.0076,0
120.32,Bank Transfer,88693.55,Tablet,Mumbai,Electronics,0,Discover,198,1168.01,Password,0.8231,0
26.47,Bank Transfer,20500.38,Laptop,New York,Travel,0,Visa,194,712.35,Password,0.4645,0
210.98,ATM Withdrawal,14361.8,Tablet,Mumbai,Clothing,0,Discover,173,92.88,PIN,0.4504,0
160.58,ATM Withdrawal,60955.11,Tablet,New York,Restaurants,0,Amex,198,2927.89,Password,0.5051,0
52.5,Online,74184.21,Mobile,Tokyo,Restaurants,0,Visa,219,1370.95,Password,0.0756,1
68.58,Bank Transfer,55847.43,Mobile,Sydney,Electronics,0,Amex,234,637.53,PIN,0.3251,0
8.26,Bank Transfer,78451.8,Tablet,Mumbai,Travel,0,Discover,164,1041.91,Biometric,0.8759,1
133.82,Bank Transfer,94254.86,Tablet,Mumbai,Groceries,0,Mastercard,168,1396.62,PIN,0.0451,0
251.8,ATM Withdrawal,87999.62,Mobile,New York,Restaurants,0,Amex,28,3030.98,OTP,0.7462,0
44.29,Online,52056.64,Mobile,New York,Clothing,0,Visa,170,4212.17,Biometric,0.9524,1
25.05,Bank Transfer,47100.97,Tablet,Tokyo,Clothing,0,Amex,204,2959.47,OTP,0.9297,1
159.36,POS,46150.37,Tablet,Mumbai,Electronics,0,Visa,200,2620.73,Password,0.9967,1
154.59,ATM Withdrawal,42889.03,Laptop,Mumbai,Electronics,0,Mastercard,118,4054.89,PIN,0.6357,0
136.49,POS,29450.32,Tablet,Sydney,Travel,0,Discover,160,3418.29,PIN,0.5891,0
155.09,POS,16524.51,Laptop,Sydney,Restaurants,0,Mastercard,2,2905.38,Password,0.0973,1
51.97,ATM Withdrawal,41278.5,Tablet,New York,Electronics,0,Visa,89,4297.64,Biometric,0.7717,0
52.75,Bank Transfer,26976.85,Laptop,Sydney,Clothing,0,Mastercard,170,3579.79,Biometric,0.0153,0
71.39,Online,53067.51,Laptop,New York,Electronics,0,Visa,105,2144.29,Password,0.0584,0
50.8,ATM Withdrawal,87491.78,Laptop,Sydney,Clothing,0,Discover,112,4890.79,Password,0.8669,1
56.64,ATM Withdrawal,34337.36,Mobile,New York,Electronics,0,Mastercard,230,678.61,Biometric,0.8361,0
23.31,ATM Withdrawal,2489.44,Tablet,New York,Clothing,0,Discover,232,1519.96,PIN,0.0365,0
145.45,ATM Withdrawal,36784.22,Tablet,Sydney,Restaurants,0,Visa,71,3207.3,Password,0.4347,0
9.65,Bank Transfer,92112.94,Laptop,Mumbai,Restaurants,0,Mastercard,4,1907.59,Password,0.1251,0
268.52,Online,52543.18,Mobile,London,Clothing,0,Visa,6,4534.39,Password,0.2972,0
23.32,POS,75259.34,Mobile,London,Travel,0,Discover,45,4967.61,Biometric,0.8339,0
19.23,Bank Transfer,99404.85,Mobile,New York,Groceries,0,Visa,88,1290.43,Password,0.4605,1
6.17,POS,70452.68,Tablet,London,Groceries,0,Discover,7,3239.85,OTP,0.6261,1
29.37,Online,6376.12,Tablet,Mumbai,Travel,0,Amex,117,1522.44,Password,0.99,1
18.36,Bank Transfer,88596.86,Laptop,Tokyo,Groceries,0,Visa,176,2034.61,Password,0.3229,1
52.59,Bank Transfer,24496.15,Tablet,New York,Travel,0,Amex,48,2689.52,Password,0.7777,0
376.37,POS,49116.13,Laptop,New York,Electronics,0,Visa,237,3984.53,OTP,0.5833,0
469.43,Online,52125.14,Laptop,Mumbai,Clothing,0,Amex,15,165.87,OTP,0.5912,1
186.24,Online,18322.9,Laptop,London,Travel,0,Visa,32,1453.65,Biometric,0.3756,0
35.02,Online,93166.03,Mobile,New York,Clothing,1,Mastercard,30,4882.6,Biometric,0.9513,1
119.32,POS,31537.89,Laptop,Tokyo,Electronics,0,Amex,34,277.94,Password,0.8934,1
92.61,Online,72970.82,Tablet,Mumbai,Clothing,0,Visa,203,2406.42,PIN,0.6012,0
10.15,POS,6991.1,Mobile,Mumbai,Electronics,0,Mastercard,55,822.58,Biometric,0.43,1
13.14,POS,23806.33,Tablet,Tokyo,Groceries,0,Amex,201,1710.18,Biometric,0.5644,0
51.35,Online,11501.26,Laptop,London,Electronics,0,Amex,85,938.97,OTP,0.5535,0
11.98,POS,907.29,Mobile,London,Electronics,0,Mastercard,92,3884.79,Password,0.7148,1
13.31,POS,25559.94,Mobile,Mumbai,Restaurants,0,Visa,25,4111.49,PIN,0.8653,1
72.49,Online,22118.14,Tablet,London,Electronics,0,Discover,29,4473.62,OTP,0.2904,0
152.06,Online,77353.87,Laptop,Tokyo,Restaurants,0,Visa,230,2716.44,OTP,0.4928,0
50.7,Online,77270.18,Laptop,Mumbai,Clothing,0,Mastercard,185,4062.1,OTP,0.3298,1
134.91,ATM Withdrawal,93551.86,Tablet,Sydney,Restaurants,0,Mastercard,195,453.58,PIN,0.9466,1
216.73,Bank Transfer,89547.5,Mobile,London,Restaurants,1,Visa,178,2.83,OTP,0.3407,1
275.07,Online,64263.47,Laptop,Tokyo,Electronics,0,Discover,78,4052.01,Password,0.0026,1
